Timestamp(ns),GameTime,RightHandPosition,RightHandRotation
18133917300,16.835820,(-2.0249, 1.3122, 6.7167),(5.384, 334.250, 318.343)
18150227500,16.852440,(-2.0328, 1.3109, 6.7167),(4.997, 334.350, 318.031)
18162643600,16.865610,(-2.0396, 1.3100, 6.7164),(4.509, 334.487, 317.729)
18180136100,16.883260,(-2.0458, 1.3096, 6.7182),(3.526, 335.240, 316.928)
18189451600,16.892950,(-2.0515, 1.3093, 6.7192),(2.616, 335.962, 316.281)
18203680300,16.906650,(-2.0570, 1.3090, 6.7198),(1.853, 336.584, 315.817)
18217383500,16.920410,(-2.0595, 1.3110, 6.7201),(1.663, 336.502, 315.757)
18230723000,16.934220,(-2.0624, 1.3125, 6.7202),(1.522, 336.470, 315.733)
18245037500,16.948080,(-2.0726, 1.3113, 6.7224),(0.008, 337.258, 316.233)
18258502100,16.961630,(-2.0812, 1.3104, 6.7239),(358.368, 338.111, 316.761)
18271990900,16.975420,(-2.0957, 1.3101, 6.7275),(354.924, 340.508, 319.148)
18286719700,16.989720,(-2.1077, 1.3099, 6.7302),(352.280, 342.211, 320.811)
18300415700,17.003340,(-2.1182, 1.3096, 6.7323),(350.276, 343.434, 321.979)
18313319100,17.016790,(-2.1264, 1.3118, 6.7382),(350.872, 345.135, 321.650)
18328176300,17.031110,(-2.1345, 1.3133, 6.7428),(351.064, 346.597, 321.543)
18341484100,17.044530,(-2.1427, 1.3181, 6.7440),(352.065, 347.875, 321.551)
18354630100,17.058200,(-2.1507, 1.3217, 6.7453),(352.715, 349.132, 321.667)
18370141100,17.073020,(-2.1485, 1.3287, 6.7422),(353.886, 349.158, 321.989)
18387401600,17.090470,(-2.1490, 1.3338, 6.7404),(354.797, 349.337, 322.329)
18397105300,17.100210,(-2.1510, 1.3379, 6.7394),(355.509, 349.619, 322.678)
18410475200,17.113990,(-2.1480, 1.3440, 6.7337),(355.384, 349.597, 323.140)
18424902000,17.127900,(-2.1474, 1.3490, 6.7298),(355.247, 349.644, 323.635)
18439063300,17.142150,(-2.1414, 1.3533, 6.7255),(355.291, 349.736, 323.999)
18452340500,17.155820,(-2.1381, 1.3572, 6.7222),(355.324, 349.881, 324.395)
18466817200,17.169900,(-2.1366, 1.3608, 6.7197),(355.346, 350.079, 324.829)
18480313700,17.183430,(-2.1327, 1.3607, 6.7183),(355.357, 350.039, 324.775)
18494374400,17.197880,(-2.1304, 1.3613, 6.7170),(355.367, 350.004, 324.723)
18508550300,17.211550,(-2.1282, 1.3595, 6.7171),(355.383, 349.821, 324.565)
18522535100,17.225460,(-2.1266, 1.3586, 6.7170),(355.400, 349.576, 324.353)
18535781500,17.239290,(-2.1255, 1.3582, 6.7167),(355.412, 349.338, 324.145)
18550253800,17.253320,(-2.1232, 1.3550, 6.7158),(355.652, 348.328, 320.688)
18563972900,17.267050,(-2.1213, 1.3527, 6.7149),(355.799, 347.521, 317.822)
18578768400,17.281550,(-2.1171, 1.3508, 6.7135),(357.771, 345.585, 314.193)
18596363100,17.299660,(-2.1140, 1.3495, 6.7123),(358.992, 344.235, 311.623)
18607294300,17.309990,(-2.1027, 1.3464, 6.7133),(2.870, 339.157, 305.263)
18620240300,17.323020,(-2.0944, 1.3443, 6.7138),(4.808, 336.034, 301.272)
18633646900,17.336980,(-2.0879, 1.3427, 6.7140),(5.928, 333.927, 298.500)
18648120600,17.350980,(-2.0746, 1.3353, 6.7158),(5.573, 328.747, 292.320)
18662218800,17.364940,(-2.0643, 1.3298, 6.7170),(5.279, 325.666, 288.541)
18675126300,17.378490,(-2.0584, 1.3145, 6.7183),(3.601, 321.611, 282.180)
18689341000,17.392310,(-2.0528, 1.3031, 6.7192),(2.543, 319.219, 278.435)
18703851600,17.406760,(-2.0485, 1.2874, 6.7172),(4.119, 318.623, 274.774)
18717298600,17.420240,(-2.0440, 1.2751, 6.7157),(4.946, 317.794, 271.911)
18730612300,17.434070,(-2.0395, 1.2647, 6.7147),(5.408, 316.864, 269.399)
18744794000,17.447860,(-2.0217, 1.2560, 6.7122),(5.763, 314.349, 267.400)
18758724800,17.461850,(-2.0076, 1.2479, 6.7103),(5.923, 312.231, 265.335)
18772318300,17.475810,(-1.9851, 1.2407, 6.7132),(4.063, 311.184, 264.058)
18786672200,17.489740,(-1.9670, 1.2337, 6.7151),(2.590, 310.081, 262.565)
18804422100,17.507460,(-1.9515, 1.2267, 6.7164),(1.340, 308.946, 260.934)
18814233400,17.517740,(-1.9332, 1.2081, 6.7206),(1.913, 307.763, 261.759)
18828817100,17.531710,(-1.9172, 1.1927, 6.7236),(2.334, 306.420, 262.156)
18842631900,17.545420,(-1.8937, 1.1704, 6.7280),(5.600, 301.481, 266.833)
18857324500,17.560050,(-1.8736, 1.1518, 6.7313),(7.812, 297.925, 269.307)
