Participant ID,Age,Ethnicity,Race (select one or more choices),Self-Identified Gender,What is your education level,Do you wear glasses,If Yes to the above question: do you wear them only for reading,Do you wear contacts,How often do you play video games,What type of video games do you play,How frequently do you use a VR device,Do you own a VR device,If yes to the above question: list the VR devices you use,How frequently do you use telehealth services,What type of services have you used
XBS6U,24,Not Hispanic or Latino,Asian,Male,"Master's Degree (e.g. MA, MS, MEng)",No,,No,Sometimes,"clash of clans, pubg",Rarely,No,,Sometimes,mobiles
FXIIP,26,Not Hispanic or Latino,White,Female,Bachelor's Degree (e.g. BA or BS),No,,No,Often,"Open world, shooting",Never,No,,Never,
1AH4W,25,Hispanic or Latino,Asian,Male,"Master's Degree (e.g. MA, MS, MEng)",No,,No,Sometimes,no,Never,No,,Never,
IL9KC,26,,Asian,Male,"Master's Degree (e.g. MA, MS, MEng)",No,,No,Often,Simulation,Sometimes,No,,Rarely,N/A
FRU51,25,Not Hispanic or Latino,Asian,Female,"Master's Degree (e.g. MA, MS, MEng)",No,,No,Rarely,Sports,Rarely,No,,Never,
ANTUJ,20,Not Hispanic or Latino,Asian,Women,High school diploma or GED,No,,No,Never,,Rarely,No,,Sometimes,dermatologist
I3CXJ,21,Not Hispanic or Latino,White,Male,"some college, but no degree",No,,No,Often,"Mostly casual single player indie games, occasionally action games. Some recent examples are Deltarune, Voices of the Void, and Death Stranding. ",Often,Yes,I have a modified Quest 3 that I use for game development and beat saber.,Rarely,K health (once)
ALXLN,19,Not Hispanic or Latino,White,Male,High school diploma or GED,No,,Yes,Always,"shooters, mmorpgs, story games, puzzle games, and most other genres of video games",Never,No,,Never,
K54Q7,26,Not Hispanic or Latino,Asian,Female,"Master's Degree (e.g. MA, MS, MEng)",No,,No,Never,,Never,No,,Never,
878A1,23,Not Hispanic or Latino,Asian,Male,Bachelor's Degree (e.g. BA or BS),Yes,No,Yes,Often,PC and console video games,Never,No,,Often,MyChart
